artist,track,Year,energy,liveness,tempo,speechiness,acousticness,instrumentalness,valence,danceability,mean_energy,mean_liveness,mean_tempo,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_valence,mean_danceability,raw_tempo,spotify_id
Chubby Checker,Pony Time,1961,0.936476,0.844052,0.848175675676,0.161885,0.11277,5e-06,0.692138,0.308365,0.44655349322,0.229653340678,0.439084413651,0.0564864237288,0.718906145763,0.0984398694915,0.648598922034,0.506493023729,177.53,45gAw2xmDx9DZAnoiJK723
Elvis Presley,Surrender,1961,0.613495,0.329342,0.194655405405,0.054969,0.859339,2e-06,0.682788,0.372652,0.452548673469,0.233400277211,0.440994966906,0.0560120935374,0.715532780612,0.0990509812925,0.652460083333,0.50641612585,80.809,366wRPrx2airjcCRkxgoS2
Del Shannon,Runaway,1961,0.497323,0.098984,0.160864864865,0.035202,0.295031,0.0,0.817444,0.526654,0.451170264055,0.232819465077,0.439143204107,0.0567291584327,0.712144475298,0.102214572402,0.655250417376,0.509490139693,75.808,0uxu2GzsOMGNZ7C1ul84Mf
Marcels,Blue Moon,1961,0.396548,0.287898,0.511554054054,0.047951,0.487344,0.0,0.994769,0.798441,0.451170264055,0.232819465077,0.439143204107,0.0567291584327,0.712144475298,0.102214572402,0.655250417376,0.509490139693,127.71,2CghtwfbA6zkqfxRlSsSJG
Ernie K-Doe,Mother-In-Law,1961,0.610894,0.152359,0.526108108108,0.028299,0.190192,0.016532,0.804138,0.735394,0.452866343284,0.234233034826,0.434740912554,0.0566591011609,0.709348603648,0.106799278607,0.656778489221,0.509465651741,129.864,6rN6xdKMu0dWnsKNePZItp
Roy Orbison,Running Scared,1961,0.501426,0.714176,0.223587837838,0.069286,0.760546,0.0,0.372293,0.349484,0.455059313115,0.233458986885,0.438128732831,0.0554841868852,0.705214796721,0.111598095082,0.655011755738,0.5081134,85.091,6sbj89WozjblBMa5u41orw
Bobby Lewis,Tossin' And Turnin',1961,0.823992,0.2452,0.606722972973,0.063348,0.785791,0.0,0.961996,0.625147,0.456761707317,0.233620746341,0.441326455724,0.0551917626016,0.704744123577,0.111685629268,0.658814746341,0.508419900813,141.795,79s3pSe1u6ggQBEwVPm58Z
Rick Nelson,Travelin' Man,1961,0.295436,0.375405,0.483493243243,0.037204,0.672873,0.0,0.978156,0.751774,0.456761707317,0.233620746341,0.441326455724,0.0551917626016,0.704744123577,0.111685629268,0.658814746341,0.508419900813,123.557,2jc4wyf3ys0zKCpxHRjEYx
Pat Boone,Moody River,1961,0.235989,0.332937,0.165175675676,0.038478,0.98254,0.034993,0.206183,0.166624,0.459885810289,0.234716644695,0.445751651169,0.0571939163987,0.704452853698,0.108640284566,0.662997196141,0.509520041801,76.446,3JhwxN5fPtpWh8O4qCBjYO
Gary (U.S.) Bonds,Quarter To Three,1961,0.942442,0.38921,0.716155405405,0.172304,0.866255,0.0,0.520825,0.503336,0.460005268371,0.235314722045,0.449490749935,0.0560905479233,0.707858720447,0.108468199681,0.663967001597,0.510634022364,157.991,7aHn8rGeEGkDkQiUV0DpW1
Joe Dowell,Wooden Heart,1961,0.115593,0.107679,0.210128378378,0.031324,0.877127,0.004034,0.858808,0.616145,0.466396900958,0.231392945687,0.444166382437,0.0548406821086,0.701024984026,0.118322289137,0.666764674121,0.511292484026,83.099,2ELAMT68a78OGwhCgj9Kai
Highwaymen,Michael,1961,0.07471,0.157338,0.367243243243,0.033842,0.949025,0.733064,0.512487,0.370836,0.467382200313,0.233997270736,0.447362062767,0.054381970266,0.698400140845,0.122061843505,0.663454729264,0.509264248826,106.352,4fgaOr1SqaO7wzJtkyJknD
Bobby Vee,Take Good Care Of My Baby,1961,0.466053,0.091416,0.203601351351,0.038862,0.839227,0.0,0.87118,0.506927,0.47102512983,0.230722686244,0.444492762856,0.0561585239567,0.69784323493,0.123017089645,0.661971287481,0.509531531685,82.133,1MR7XamWS0XH6vZxeeRdE0
Marvelettes,Please Mr. Postman,1961,0.672908,0.024401,0.464405405405,0.035832,0.541718,0.006381,0.969892,0.837886,0.47714316208,0.232533733945,0.442353149021,0.055330412844,0.694351212538,0.121387558104,0.667146189602,0.512041749235,120.732,6jX5mso4x00c1EiNMrTU9U
Ray Charles,Hit the Road Jack,1961,0.706775,0.466095,0.235324324324,0.053683,0.509338,5e-06,0.949893,0.793882,0.477543933948,0.233657187404,0.442351808029,0.0552266374808,0.69354437788,0.121475844854,0.667591384025,0.513234322581,86.828,3Q7LXyGZ3SLD0dLztx3j5x
Dion,Runaround Sue,1961,0.71739,0.141568,0.177972972973,0.077921,0.529315,0.0,0.81579,0.552656,0.474162122914,0.231052828528,0.442679346266,0.0550342989378,0.698188699545,0.119230634294,0.666913426404,0.51382139302,78.34,1DndHckdH9m5rp6gYP086b
Jimmy Dean,Big Bad John,1961,0.287982,0.11152,0.851385135135,0.22733,0.595562,0.0,0.467024,0.490675,0.474846218891,0.230504545727,0.438640382511,0.0550093673163,0.697356085457,0.121513544228,0.668250848576,0.515355412294,178.005,61uAY9xdzYiIbYJ07XvKso
Tokens,The Lion Sleeps Tonight,1961,0.754917,0.163025,0.133851351351,0.102265,0.499148,0.0,0.503293,0.248106,0.478534510448,0.230384007463,0.445790621218,0.0545840731343,0.690714579104,0.119965534328,0.664782256716,0.514355752239,71.81,2F4FNcz68howQWD4zaGJSi
Joey Dee,Peppermint Twist - Part 1,1962,0.770947,0.26286,0.974317567568,0.044768,0.000475,1.5e-05,0.949675,0.543245,0.481650446429,0.229082574405,0.446338028877,0.0539211875,0.688684696429,0.117305084821,0.66956864881,0.516013744048,196.199,3aQ29BHdmkAMZRYKQygBWf
